country,year,pop,continent,lifeExp,gdpPercap,health_expenditure,gpd,drinking_water,literancy_rate,mortality_rate,gpd_trilhoes
Australia,1982,15184200.0,Oceania,74.74,19477.00928,,194323071830.52,,,10.1,194.32
Australia,1987,16257249.0,Oceania,76.32,21888.88903,,189726707252.515,,,8.7,189.73
Australia,1992,17481977.0,Oceania,77.56,23424.76683,,325982966981.415,,,6.7,325.98
Australia,1997,18565243.0,Oceania,78.83,26997.93657,,436321902767.408,,,5.4,436.32
Australia,2002,19546792.0,Oceania,80.37,30687.75473,7.87221003,396436967262.563,99.7121919885478,,4.9,396.44
Australia,2007,20434176.0,Oceania,81.235,34435.36744,8.0517149,856603595823.192,99.8212480845919,,4.5,856.6
Afghanistan,1997,22227415.0,Asia,41.763,635.341351,,,,,119.6,
Austria,1952,6927772.0,Europe,66.8,6137.076492,,,,,,
Austria,1957,6965860.0,Europe,67.48,8842.59803,,,,,,
Austria,1962,7129864.0,Europe,69.54,10750.72111,,7793042529.15992,,,33.0,7.79
Austria,1967,7376998.0,Europe,70.14,12834.6024,,11634569521.9273,,,26.4,11.63
Austria,1972,7544201.0,Europe,70.63,16661.6256,,21973207929.0434,,,24.1,21.97
Austria,1977,7568430.0,Europe,72.17,19749.4223,,51343861460.328,,,16.7,51.34
Austria,1982,7574613.0,Europe,73.18,21597.08362,,70996111962.5716,,,12.5,71.0
Austria,1987,7578903.0,Europe,74.94,23687.82607,,123682091858.946,,,9.4,123.68
Austria,1992,7914969.0,Europe,76.04,27042.01868,,194314032056.098,,,7.1,194.31
Austria,1997,8069876.0,Europe,77.51,29095.92066,,211724812267.448,,,5.0,211.72
Austria,2002,8148312.0,Europe,78.98,32417.60769,9.59139919,212837224022.813,100.0,,4.4,212.84
Austria,2007,8199783.0,Europe,79.829,36126.4927,9.60482597,386760177589.497,99.9999988465267,,3.9,386.76
Bahrain,1952,120447.0,Asia,50.939,9867.084765,,,,,,
Bahrain,1957,138655.0,Asia,53.832,11635.79945,,,,,,
Bahrain,1962,171863.0,Asia,56.923,12753.27514,,,,,135.7,
Bahrain,1967,202182.0,Asia,59.923,14804.6727,,,,,87.9,
Bahrain,1972,230800.0,Asia,63.3,18268.65839,,534081183.680728,,,54.7,0.53
Bahrain,1977,297410.0,Asia,65.593,19340.10196,,1989060283.04271,,,35.7,1.99
Bahrain,1982,377967.0,Asia,69.052,19211.14731,,4145421079.78723,,,25.4,4.15
Bahrain,1987,454612.0,Asia,70.75,18524.02406,,3856922694.14894,,,20.7,3.86
Bahrain,1992,529491.0,Asia,72.601,19035.57917,,5402232446.80851,,,19.1,5.4
Bahrain,1997,598561.0,Asia,73.925,20292.01679,,7219407712.76596,,,13.0,7.22
Bahrain,2002,656397.0,Asia,74.795,23403.55927,3.52897096,9593510638.29787,99.9547887625528,,9.7,9.59
Bahrain,2007,708573.0,Asia,75.635,29796.04834,3.16071057,21730000000.0,99.9450971676723,,8.1,21.73
Bangladesh,1952,46886859.0,Asia,37.484,684.2441716,,,,,,
Bangladesh,1957,51365468.0,Asia,39.348,661.6374577,,,,,,
Bangladesh,1962,56839289.0,Asia,41.216,686.3415538,,5081413541.66667,,,167.6,5.08
Bangladesh,1967,62821884.0,Asia,43.453,721.1860862,,7253575687.5,,,150.0,7.25
Bangladesh,1972,70759295.0,Asia,45.252,630.2336265,,6288245866.66667,,,148.2,6.29
Bangladesh,1977,80428306.0,Asia,46.923,659.8772322,,9651149301.8746,,,142.5,9.65
Bangladesh,1982,93074406.0,Asia,50.009,676.9818656,,18525399201.5968,,,126.2,18.53
Bangladesh,1987,103764241.0,Asia,52.819,751.9794035,,24298032258.0645,,,107.9,24.3
Bangladesh,1992,113704579.0,Asia,56.018,837.8101643,,31708874594.1645,,,89.0,31.71
Bangladesh,1997,123315288.0,Asia,59.412,972.7700352,,48244309133.4895,,,70.6,48.24
Bangladesh,2002,135656790.0,Asia,62.013,1136.39043,1.93417108,54724081490.5102,94.9052687199245,,53.6,54.72
Bangladesh,2007,150448339.0,Asia,64.062,1391.253792,2.17268491,79611644974.5571,95.8693613830189,,41.8,79.61
Belgium,1952,8730405.0,Europe,68.0,8343.105127,,,,,,
Belgium,1957,8989111.0,Europe,69.24,9714.960623,,,,,,
Belgium,1962,9218400.0,Europe,70.25,10991.20676,,13436827166.5187,,,27.1,13.44
Belgium,1967,9556500.0,Europe,70.94,13149.04119,,20252508995.4745,,,22.6,20.25
Belgium,1972,9709100.0,Europe,71.44,16672.14356,,37209418018.5134,,,18.6,37.21
Belgium,1977,9821800.0,Europe,72.8,19117.97448,,82839905458.6382,,,14.1,82.84
Belgium,1982,9856303.0,Europe,73.93,20979.84589,,92095926187.5331,,,11.1,92.1
Belgium,1987,9870200.0,Europe,75.35,22525.56308,,149394404105.889,,,9.2,149.39
Belgium,1992,10045622.0,Europe,76.46,25575.57069,,234781652446.675,,,7.7,234.78
Belgium,1997,10199787.0,Europe,77.53,27561.19663,,252708051420.839,,,5.6,252.71
Belgium,2002,10311970.0,Europe,78.32,30485.88375,8.3182106,258383599375.177,100.0,,4.5,258.38
Belgium,2007,10392226.0,Europe,79.441,33692.60508,9.1392889,470922156309.453,100.0,,3.9,470.92
Benin,1952,1738315.0,Africa,38.223,1062.7522,,,,,,
Benin,1957,1925173.0,Africa,40.358,959.6010805,,,,,,
Benin,1962,2151895.0,Africa,42.618,949.4990641,,236434954.038578,,,155.3,0.24
Benin,1967,2427334.0,Africa,44.885,1035.831411,,306221953.104911,,,144.0,0.31
Benin,1972,2761407.0,Africa,47.014,1085.796879,,410331856.991218,,,134.0,0.41
Benin,1977,3168267.0,Africa,49.19,1029.161251,,750049778.84069,,,122.3,0.75
Benin,1982,3641603.0,Africa,50.904,1277.897616,,1267778670.35902,,,112.2,1.27
Benin,1987,4243788.0,Africa,52.337,1225.85601,,1562412227.90058,,,103.7,1.56
Benin,1992,4981671.0,Africa,53.919,1191.207681,,1695315305.70308,,27.25,94.1,1.7
Benin,1997,6066080.0,Africa,54.777,1232.975292,,2268301646.46707,,,85.0,2.27
Benin,2002,7026113.0,Africa,54.406,1372.877931,3.09589195,4194342686.2178,61.7826864714812,34.6599998474121,76.0,4.19
Benin,2007,8078314.0,Africa,56.728,1441.284873,2.93715644,8169048382.83875,63.722003378885,,67.9,8.17
Bolivia,1952,2883315.0,Americas,40.414,2677.326347,,,,,,
Bolivia,1957,3211738.0,Americas,41.89,2127.686326,,,,,,
Bolivia,1962,3593918.0,Americas,43.428,2180.972546,,448400673.400673,,,181.2,0.45
Bolivia,1967,4040665.0,Americas,45.032,2586.886053,,755808080.808081,,,165.9,0.76
Bolivia,1972,4565872.0,Americas,46.714,2980.331339,,1257615644.97932,,,147.9,1.26
Bolivia,1977,5079716.0,Americas,50.023,3548.097832,,3227436281.85907,,,128.2,3.23
Bolivia,1982,5642224.0,Americas,53.859,3156.510452,,5594126368.90981,,,112.8,5.59
Bolivia,1987,6156369.0,Americas,57.251,2753.69149,,4347956337.93221,,,98.5,4.35
Bolivia,1992,6893451.0,Americas,59.957,2961.699694,,5643868748.68126,,79.9899978637695,82.8,5.64
Bolivia,1997,7693188.0,Americas,62.05,3326.143191,,7925736821.45034,,,67.1,7.93
Bolivia,2002,8445134.0,Americas,63.883,3413.26269,4.89645052,7905485146.44351,82.4311855099011,,50.9,7.91
Bolivia,2007,9119152.0,Americas,65.554,3822.137084,4.6968894,13120108008.3477,85.2691692733434,90.2900009155273,37.7,13.12
Bolivia,1987,6156369.0,Americas,57.251,2753.69149,,4347956337.93221,,,98.5,4.35
Bolivia,1992,6893451.0,Americas,59.957,2961.699694,,5643868748.68126,,79.9899978637695,82.8,5.64
Bolivia,1997,7693188.0,Americas,62.05,3326.143191,,7925736821.45034,,,67.1,7.93
Bolivia,2002,8445134.0,Americas,63.883,3413.26269,4.89645052,7905485146.44351,82.4311855099011,,50.9,7.91
Bolivia,2007,9119152.0,Americas,65.554,3822.137084,4.6968894,13120108008.3477,85.2691692733434,90.2900009155273,37.7,13.12
Bosnia And Herzegovina,1952,2791000.0,Europe,53.82,973.5331948,,,,,,
Bosnia And Herzegovina,1957,3076000.0,Europe,58.45,1353.989176,,,,,,
Bosnia And Herzegovina,1962,3349000.0,Europe,61.93,1709.683679,,,,,,
Bosnia And Herzegovina,1967,3585000.0,Europe,64.79,2172.352423,,,,,,
Bosnia And Herzegovina,1972,3819000.0,Europe,67.45,2860.16975,,,,,,
Bosnia And Herzegovina,1977,4086000.0,Europe,69.86,3528.481305,,,,,,
Bosnia And Herzegovina,1982,4172693.0,Europe,70.69,4126.613157,,,,,,
Bosnia And Herzegovina,1987,4338977.0,Europe,71.14,4314.114757,,,,,20.4,
Bosnia And Herzegovina,1992,4256013.0,Europe,72.178,2546.781445,,4735044707.23969,,,32.4,4.74
Bosnia And Herzegovina,1997,3607000.0,Europe,73.244,4766.355904,,3671909673.04401,,,10.2,3.67
Bosnia And Herzegovina,2002,4165416.0,Europe,74.09,6018.9752397,7.39934349,6728220982.88398,97.2320116330882,,7.3,6.73
Belgium,2007,10392226.0,Europe,79.441,33692.60508,9.1392889,470922156309.453,100.0,,3.9,470.92
Bosnia And Herzegovina,2007,4552198.0,Europe,74.852,7446.298803,9.25501442,15778734264.3787,96.7613473898559,,6.2,15.78
Botswana,1952,442308.0,Africa,47.622,851.2411407,,,,,,
Botswana,1957,474639.0,Africa,49.618,918.2325349,,,,,,
Botswana,1962,512764.0,Africa,51.52,983.6539764,,35644956.6430429,,,113.1,0.04
Botswana,1967,553541.0,Africa,53.298,1214.709294,,58642354.089673,,,102.6,0.06
Botswana,1972,619351.0,Africa,56.024,2263.611114,,164460914.977201,,,89.4,0.16
Botswana,1977,781472.0,Africa,59.319,3214.857818,,451624780.274597,,,71.2,0.45
Botswana,1982,970347.0,Africa,61.484,4551.14215,,1014945695.71927,,,54.0,1.01
Botswana,1987,1151184.0,Africa,63.622,6205.88385,,1965226890.04557,,,43.4,1.97
Botswana,1992,1342614.0,Africa,62.745,7954.111645,,4146464586.61674,,,40.5,4.15
Botswana,1997,1536536.0,Africa,52.556,8647.142313,,5020265626.66489,,,40.4,5.02
Botswana,2002,1630347.0,Africa,46.634,11003.60508,6.66529799,5438863982.88692,75.9139062526894,,39.7,5.44
Botswana,2007,1639131.0,Africa,50.728,12569.85177,5.52080727,10567270655.5027,78.8176379061459,,50.3,10.57
Brazil,1952,56602560.0,Americas,50.917,2108.944355,,,,,,
Brazil,1957,65551171.0,Americas,53.285,2487.365989,,,,,,
Brazil,1962,76039390.0,Americas,55.665,3336.585802,,19231747851.5332,,,120.8,19.23
Brazil,1967,88049823.0,Americas,57.632,3429.864357,,31086389194.961,,,108.5,31.09
Brazil,1972,100840058.0,Americas,59.504,4985.711467,,58434858374.8696,,,97.9,58.43
Brazil,1977,114313951.0,Americas,61.489,6660.118654,,176344101401.941,,,85.7,176.34
Brazil,1982,128962939.0,Americas,63.336,7030.835878,,271314113768.417,,,70.4,271.31
Brazil,1987,142938076.0,Americas,65.205,7807.095818,,283056836893.838,,,58.1,283.06
Brazil,1992,155975974.0,Americas,67.057,6950.283021,,328187960871.951,,,47.4,328.19
Brazil,1997,168546719.0,Americas,69.388,7957.980824,,883206452795.124,,,35.2,883.21
Brazil,2002,179914212.0,Americas,71.006,8131.212843,8.69686985,509795270685.19,94.1864278135922,,25.6,509.8
Brazil,2007,190010647.0,Americas,72.39,9065.800825,8.20182991,1397114247188.89,95.6619556450111,90.0100021362305,18.6,1397.11
Bulgaria,1952,7274900.0,Europe,59.6,2444.286648,,,,,,
Bulgaria,1957,7651254.0,Europe,66.61,3008.670727,,,,,,
Bulgaria,1962,8012946.0,Europe,69.51,4254.337839,,,,,36.8,
Bulgaria,1967,8310226.0,Europe,70.42,5577.0028,,,,,30.9,
Bulgaria,1972,8576200.0,Europe,70.9,6597.494398,,,,,25.7,
Bulgaria,1977,8797022.0,Europe,70.81,7612.240438,,,,,22.7,
Bulgaria,1982,8892098.0,Europe,71.08,8224.191647,,19342000000.0,,,18.1,19.34
Bulgaria,1987,8971958.0,Europe,71.34,8239.854824,,28101000000.0,,,14.4,28.1
Bulgaria,1992,8658506.0,Europe,71.19,6302.623438,,8602887622.63828,,,15.3,8.6
Bulgaria,1997,8066057.0,Europe,70.32,5970.38876,,11316127378.9613,,,15.6,11.32
Bulgaria,2002,7661799.0,Europe,72.14,7696.777725,7.0809865,16403043849.8297,99.678880786955,,13.2,16.4
Bulgaria,2007,7322858.0,Europe,73.005,10680.79282,6.15651751,44431257128.8618,99.5424563841982,,9.9,44.43
Burkina Faso,1952,4469979.0,Africa,31.975,543.2552413,,,,,,
Burkina Faso,1957,4713416.0,Africa,34.906,617.1834648,,,,,,
Burkina Faso,1962,4919632.0,Africa,37.814,722.5120206,,379567099.249422,,,168.8,0.38
Burkina Faso,1967,5127935.0,Africa,40.697,794.8265597,,450753923.548048,,,163.3,0.45
Burkina Faso,1972,5433886.0,Africa,43.591,854.7359763,,578595521.990135,,,156.3,0.58
Burkina Faso,1977,5889574.0,Africa,46.137,743.3870368,,1131224878.18865,,,135.2,1.13
Burkina Faso,1982,6634596.0,Africa,48.122,807.1985855,,1754450096.23721,,,118.0,1.75
Burkina Faso,1987,7586551.0,Africa,49.557,912.0631417,,2369834949.73234,,,106.7,2.37
Burkina Faso,1987,7586551.0,Africa,49.557,912.0631417,,2369834949.73234,,,106.7,2.37
Burkina Faso,1992,8878303.0,Africa,50.26,931.7527731,,3356692505.18266,,,102.1,3.36
Burkina Faso,1997,10352843.0,Africa,50.324,946.2949618,,2447669101.95178,,,97.7,2.45
Burkina Faso,2002,12251209.0,Africa,50.65,1037.645221,4.17985535,3622350062.96053,55.6114304370044,,88.2,3.62
Burkina Faso,2007,14326203.0,Africa,52.295,1217.032994,5.77535009,7625722836.76847,54.4775122533974,27.8799991607666,74.1,7.63
Burundi,1952,2445618.0,Africa,39.031,339.2964587,,,,,,
Burundi,1957,2667518.0,Africa,40.533,379.5646281,,,,,,
Burundi,1962,2961915.0,Africa,42.045,355.2032273,,213500006.0,,,,0.21
Burundi,1967,3330989.0,Africa,43.548,412.9775136,,178297142.857143,,,116.9,0.18
Burundi,1972,3529983.0,Africa,44.057,464.0995039,,246804571.428571,,,136.6,0.25
Burundi,1977,3834415.0,Africa,45.91,556.1032651,,547535555.555556,,,121.4,0.55
Burundi,1982,4580410.0,Africa,47.471,559.603231,,1013222222.22222,,,104.2,1.01
Burundi,1987,5126023.0,Africa,48.211,621.8188189,,1131466494.01101,,,90.5,1.13
Burundi,1992,5809236.0,Africa,44.736,631.6998778,,1083037670.60484,,,94.0,1.08
Burundi,1997,6121610.0,Africa,45.326,463.1151478,,972896267.915425,,,93.7,0.97
Burundi,2002,7021078.0,Africa,47.36,446.4035126,5.34983587,825394519.423728,51.3135864667635,,83.5,0.83
Burundi,2007,8390505.0,Africa,49.58,430.0706916,9.1855402,1356199387.42308,54.8864129509112,,66.0,1.36
Cambodia,1952,4693836.0,Asia,39.417,368.4692856,,,,,,
Cambodia,1957,5322536.0,Asia,41.366,434.0383364,,,,,,
Cambodia,1962,6083619.0,Asia,43.415,496.9136476,,,,,,
Cambodia,1967,6960067.0,Asia,45.415,523.4323142,,,,,,
Cambodia,1972,7450606.0,Asia,40.317,421.6240257,,,,,,
Cambodia,1977,6978607.0,Asia,31.22,524.9721832,,716261764.498093,,,244.1,0.72
Cambodia,1982,7272485.0,Asia,50.957,624.4754784,,865516039.800558,,,99.7,0.87
Cambodia,1987,8371791.0,Asia,53.914,683.8955732,,1036974910.45,,,86.9,1.04
Cambodia,1987,8371791.0,Asia,53.914,683.8955732,,1036974910.45,,,86.9,1.04
Cambodia,1992,10150094.0,Asia,55.803,682.3031755,,2491486594.18917,,,90.2,2.49
Cambodia,1997,11782962.0,Asia,56.534,734.28517,,3443413388.65696,,,95.3,3.44
Cambodia,2002,12926707.0,Asia,56.752,896.2260153,6.91952753,4501227626.62752,55.5106135698106,,71.0,4.5
Cambodia,2007,14131858.0,Asia,59.723,1713.778686,4.42702723,10127916459.8983,62.3624172696977,,46.3,10.13
Cameroon,1952,5009067.0,Africa,38.523,1172.667655,,,,,,
Cameroon,1957,5359923.0,Africa,40.428,1313.048099,,,,,,
Cameroon,1962,5793633.0,Africa,42.643,1399.607441,,694247864.3789,,,167.6,0.69
Cameroon,1967,6335506.0,Africa,44.799,1508.453148,,936175260.030919,,,145.1,0.94
Cameroon,1972,7021028.0,Africa,47.049,1684.146528,,1498251889.66287,,,120.1,1.5
Cameroon,1977,7959865.0,Africa,49.355,1783.432873,,3394664024.05503,,,113.5,3.39
Cameroon,1982,9250831.0,Africa,52.961,2367.983282,,6611255963.83584,,,101.2,6.61
Cameroon,1987,10780667.0,Africa,54.985,2602.664206,,13049659981.1373,,,84.0,13.05
Cameroon,1992,12467171.0,Africa,54.314,1793.163278,,12071775335.0433,,,83.3,12.07
Cameroon,1997,14195809.0,Africa,52.199,1694.337469,,10789458432.6416,,,86.4,10.79
Cameroon,2002,15929988.0,Africa,49.856,1934.011449,4.02669907,12417251350.4882,57.4955566062435,,79.1,12.42
Cameroon,2007,17696293.0,Africa,50.43,2042.09524,3.79498792,23928250433.0378,61.3565272358718,70.6800003051758,69.9,23.93
Canada,1952,14785584.0,Americas,68.75,11367.16112,,,,,,
Canada,1957,17010154.0,Americas,69.96,12489.95006,,,,,,
Canada,1962,18985849.0,Americas,71.3,13462.48555,,42336211555.8268,,,26.0,42.34
Canada,1967,20819767.0,Americas,72.13,16076.58803,,65856924423.9721,,,21.2,65.86
Canada,1972,22284500.0,Americas,72.88,18970.57086,,113463848873.624,,,16.7,113.46
Canada,1977,23796400.0,Americas,74.21,22090.88306,,212325176304.654,,,12.5,212.33
Canada,1982,25201900.0,Americas,75.76,22898.79214,,314647807408.608,,,9.2,314.65
Canada,1987,26549700.0,Americas,76.86,26626.51503,,433134238310.709,,,7.5,433.13
Canada,1992,28523502.0,Americas,77.95,26342.88426,,594387358318.855,,,6.4,594.39
Canada,1997,30305843.0,Americas,78.61,28954.92589,,654986999855.554,,,5.5,654.99
Canada,2002,31902268.0,Americas,79.77,33328.96507,8.85665226,760649334098.005,99.5605310127561,,5.3,760.65
Canada,2007,33390141.0,Americas,80.653,36319.23501,9.4346962,1468820407783.26,99.3664505915258,,5.2,1468.82
Central African Republic,1952,1291695.0,Africa,35.463,1071.310713,,,,,,
Central African Republic,1957,1392284.0,Africa,37.464,1190.844328,,,,,,
Central African Republic,1962,1523478.0,Africa,39.475,1193.068753,,124482773.83306,,,154.0,0.12
Central African Republic,1967,1733638.0,Africa,41.478,1136.056615,,163820513.562432,,,140.2,0.16
Central African Republic,1972,1927260.0,Africa,43.457,1070.013275,,230317883.36443,,,127.5,0.23
Central African Republic,1977,2167533.0,Africa,46.775,1109.374338,,507298147.526539,,,118.2,0.51
Central African Republic,1982,2476971.0,Africa,48.295,956.7529907,,748312390.756606,,,112.0,0.75
Central African Republic,1987,2840009.0,Africa,50.485,844.8763504,,1200991977.80801,,,110.1,1.2
Central African Republic,1992,3265124.0,Africa,49.396,747.9055252,,1411917553.12436,,,107.7,1.41
Central African Republic,1997,3696513.0,Africa,46.066,740.5063317,,937741513.015352,,,103.5,0.94
Central African Republic,2002,4048013.0,Africa,43.308,738.6906068,4.23633623,996068144.884889,56.6533336515989,,96.1,1.0
Central African Republic,2007,4369038.0,Africa,44.741,706.016537,4.6338892,1699811294.94935,50.9129861465533,,85.3,1.7
Chad,1952,2682462.0,Africa,38.092,1178.665927,,,,,,
Chad,1957,2894855.0,Africa,39.881,1308.495577,,,,,,
Chad,1962,3150417.0,Africa,41.716,1389.817618,,357635713.41932,,,141.7,0.36
Chad,1967,3495967.0,Africa,43.601,1196.810565,,449826322.613453,,,139.5,0.45
Chad,1972,3899068.0,Africa,45.569,1104.103987,,585427546.798272,,,136.7,0.59
Chad,1977,4388260.0,Africa,47.383,1133.98495,,935360464.701341,,,133.4,0.94
Chad,1982,4875118.0,Africa,49.517,797.9081006,,834369859.663018,,,128.6,0.83
Chad,1987,5498955.0,Africa,51.051,952.386129,,1163426852.20442,,,121.5,1.16
Chad,1992,6429417.0,Africa,51.724,1058.0643,,1881847669.69794,,,113.6,1.88
Chad,1997,7562011.0,Africa,51.573,1004.961353,,1544689576.92712,,,106.7,1.54
Chad,2002,8835739.0,Africa,50.525,1156.18186,5.60251188,1997005708.81576,39.797511560643,,98.0,2.0
Chad,2007,10238807.0,Africa,50.651,1704.063724,3.47199655,10865385131.5172,42.759391223653,,88.3,10.87
Chile,1952,6377619.0,Americas,54.745,3939.978789,,,,,,
Chile,1957,7048426.0,Americas,56.074,4315.622723,,,,,,
Chile,1962,7961258.0,Americas,57.924,4519.094331,,5765971144.47142,,,117.4,5.77
Chile,1967,8858908.0,Americas,60.523,5106.654313,,7145068067.64138,,,78.4,7.15
Chile,1972,9717524.0,Americas,63.441,5494.024437,,12057501634.979,,,66.0,12.06
Chile,1977,10599793.0,Americas,67.052,4756.763836,,14272711436.7475,,,41.4,14.27
Chile,1982,11487112.0,Americas,70.565,5095.665738,,19710229067.2864,,91.129997253418,22.8,19.71
Chile,1987,12463354.0,Americas,72.492,5547.063754,,22605488850.8981,,,18.4,22.61
Chile,1992,13572994.0,Americas,74.126,7596.125964,,46538895685.8088,,94.2900009155273,13.6,46.54
Chile,1997,14599929.0,Americas,75.816,10118.05318,,85741415285.165,,,10.3,85.74
Chile,2002,15497046.0,Americas,77.86,10778.78385,7.20833778,70264045939.2773,96.6625859523194,95.7200012207031,8.3,70.26
Chile,2007,16284741.0,Americas,78.553,13171.63885,6.21259642,172491076033.863,97.2423387378927,,7.6,172.49
China,1952,556263527.999989,Asia,44.0,400.448610699994,,,,,,
China,1957,637408000.0,Asia,50.54896,575.9870009,,,,,,
China,1962,665770000.0,Asia,44.50136,487.6740183,,47310737754.2287,,,,47.31
