country,year,pop,continent,lifeExp,gdpPercap,iso_alpha,iso_num,gini_index_latest,infant_mortality_per_1000_latest,gini_index_year,infant_mortality_per_1000_year
Mongolia,2007,2874127.0,Asia,66.803,3095.772271,MNG,496.0,35.8,26.5,2007.0,2007.0
Montenegro,2007,684736.0,Europe,74.543,9253.896111,MNE,499.0,31.4,7.8,2007.0,2007.0
Morocco,2007,33757175.0,Africa,71.164,3820.17523,MAR,504.0,40.7,33.2,2006.0,2007.0
Mozambique,2007,19951656.0,Africa,42.082,823.6856205,MOZ,508.0,46.9,70.1,2002.0,2007.0
Myanmar,2007,47761980.0,Asia,62.069,944.0,MMR,104.0,,60.5,,2007.0
Namibia,2007,2055080.0,Africa,52.906,4811.060429,NAM,516.0,63.3,41.4,2003.0,2007.0
Nepal,2007,28901790.0,Asia,63.785,1091.359778,NPL,524.0,43.8,45.0,2003.0,2007.0
Netherlands,2007,16570613.0,Europe,79.762,36797.93332,NLD,528.0,29.6,4.1,2007.0,2007.0
New Zealand,2007,4115771.0,Oceania,80.204,25185.00911,NZL,554.0,,5.3,,2007.0
Nicaragua,2007,5675356.0,Americas,72.899,2749.320965,NIC,558.0,48.8,23.3,2005.0,2007.0
Niger,2007,12894865.0,Africa,56.867,619.6768924,NER,562.0,37.3,77.3,2007.0,2007.0
Nigeria,2007,135031164.0,Africa,46.859,2013.977305,NGA,566.0,40.1,75.6,2003.0,2007.0
Norway,2007,4627926.0,Europe,80.196,49357.19017,NOR,578.0,27.1,3.0,2007.0,2007.0
Oman,2007,3204897.0,Asia,75.64,22316.19287,OMN,512.0,,9.9,,2007.0
Pakistan,2007,169270617.0,Asia,65.483,2605.94758,PAK,586.0,29.7,77.3,2007.0,2007.0
Panama,2007,3242173.0,Americas,75.537,9809.185636,PAN,591.0,52.7,16.3,2007.0,2007.0
Paraguay,2007,6667147.0,Americas,71.752,4172.838464,PRY,600.0,53.0,24.5,2007.0,2007.0
Peru,2007,28674757.0,Americas,71.421,7408.905561,PER,604.0,50.0,19.1,2007.0,2007.0
Philippines,2007,91077287.0,Asia,71.688,3190.481016,PHL,608.0,47.2,24.1,2006.0,2007.0
Poland,2007,38518241.0,Europe,75.563,15389.92468,POL,616.0,34.0,6.0,2007.0,2007.0
Portugal,2007,10642836.0,Europe,78.098,20509.64777,PRT,620.0,36.8,3.3,2007.0,2007.0
Puerto Rico,2007,3942491.0,Americas,78.746,19328.70901,PRI,630.0,,,,
Reunion,2007,798094.0,Africa,76.442,7670.122558,REU,638.0,,,,
Romania,2007,22276056.0,Europe,72.476,10808.47561,ROU,642.0,37.5,12.9,2007.0,2007.0
Rwanda,2007,8860588.0,Africa,46.242,863.0884639,RWA,646.0,52.0,53.2,2005.0,2007.0
Sao Tome and Principe,2007,199579.0,Africa,65.528,1598.435089,STP,678.0,32.1,29.6,2000.0,2007.0
Saudi Arabia,2007,27601038.0,Asia,72.777,21654.83194,SAU,682.0,,12.7,,2007.0
Senegal,2007,12267493.0,Africa,63.062,1712.472136,SEN,686.0,39.2,47.3,2005.0,2007.0
Serbia,2007,10150265.0,Europe,74.002,9786.534714,SRB,688.0,28.7,7.1,2007.0,2007.0
Sierra Leone,2007,6144562.0,Africa,42.568,862.5407561,SLE,694.0,40.2,102.3,2003.0,2007.0
Singapore,2007,4553009.0,Asia,79.972,47143.17964,SGP,702.0,,2.3,,2007.0
Slovak Republic,2007,5447502.0,Europe,74.663,18678.31435,SVK,703.0,24.7,6.3,2007.0,2007.0
Slovenia,2007,2009245.0,Europe,77.926,25768.25759,SVN,705.0,24.4,3.1,2007.0,2007.0
Somalia,2007,9118773.0,Africa,48.159,926.1410683,SOM,706.0,,102.5,,2007.0
South Africa,2007,43997828.0,Africa,49.339,9269.657808,ZAF,710.0,65.0,44.0,2005.0,2007.0
Spain,2007,40448191.0,Europe,80.941,28821.0637,ESP,724.0,34.1,3.6,2007.0,2007.0
Sri Lanka,2007,20378239.0,Asia,72.396,3970.095407,LKA,144.0,39.7,10.1,2006.0,2007.0
Sudan,2007,42292929.0,Africa,58.556,2602.394995,SDN,736.0,,58.2,,2007.0
Swaziland,2007,1133066.0,Africa,39.613,4513.480643,SWZ,748.0,53.1,63.7,2000.0,2007.0
Sweden,2007,9031088.0,Europe,80.884,33859.74835,SWE,752.0,27.1,2.7,2007.0,2007.0
Switzerland,2007,7554661.0,Europe,81.701,37506.41907,CHE,756.0,34.3,4.1,2007.0,2007.0
Syria,2007,19314747.0,Asia,74.143,4184.548089,SYR,760.0,40.1,17.6,2006.0,2007.0
Taiwan,2007,23174294.0,Asia,78.4,28718.27684,TWN,158.0,,,,
Tanzania,2007,38139640.0,Africa,52.517,1107.482182,TZA,834.0,40.3,55.5,2007.0,2007.0
Thailand,2007,65068149.0,Asia,70.616,7458.396327,THA,764.0,39.8,13.4,2007.0,2007.0
Togo,2007,5701579.0,Africa,58.42,882.9699438,TGO,768.0,42.2,57.7,2006.0,2007.0
Trinidad and Tobago,2007,1056608.0,Americas,69.819,18008.50924,TTO,780.0,40.2,23.7,1992.0,2007.0
Tunisia,2007,10276158.0,Africa,73.923,7092.923025,TUN,788.0,37.7,17.7,2005.0,2007.0
Turkey,2007,71158647.0,Europe,71.777,8458.276384,TUR,792.0,38.4,17.9,2007.0,2007.0
Uganda,2007,29170398.0,Africa,51.542,1056.380121,UGA,800.0,42.9,58.9,2005.0,2007.0
United Kingdom,2007,60776238.0,Europe,79.425,33203.26128,GBR,826.0,34.4,4.9,2007.0,2007.0
United States,2007,301139947.0,Americas,78.242,42951.65309,USA,840.0,41.1,6.6,2007.0,2007.0
Uruguay,2007,3447496.0,Americas,76.384,10611.46299,URY,858.0,46.4,10.9,2007.0,2007.0
Venezuela,2007,26084662.0,Americas,73.747,11415.80569,VEN,862.0,44.7,14.5,2006.0,2007.0
Vietnam,2007,85262356.0,Asia,74.249,2441.576404,VNM,704.0,35.8,17.6,2006.0,2007.0
West Bank and Gaza,2007,4018332.0,Asia,73.422,3025.349798,PSE,275.0,35.6,21.1,2007.0,2007.0
Yemen Rep.,2007,22211743.0,Asia,62.698,2280.769906,,,,,,
Zambia,2007,11746035.0,Africa,42.384,1271.211593,ZMB,894.0,54.6,54.3,2006.0,2007.0
Zimbabwe,2007,12311143.0,Africa,43.487,469.7092981,ZWE,716.0,,68.8,,2007.0
